mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
zheshidiwucimaimijiadeshoujile	这__是__第_五_次_买__米_家__的_手___机_了_
xiwangzheciyeshibangbangda	希_望___这__次_也_是__棒___棒___哒_
xianyongjitian	先___用___几_天___
guohouzhuiping	过__后__追___评___
guanfangtaixiaoqi	官___方___太__小___气_
liangemoyebugei	连___个_膜_也_不_给__
shoujihaibucuo	手___机_还__不_错__
kefuconglaibushuohua	客_服_从___来__不_说___话__
bangtongshimaide	帮___同___事__买__的_
tafanyingshoujicaozuozhengchang	他_反__映___手___机_操__作__正____常____
meiyoushenmewenti	没__有__什___么_问__题_
tebiehao	特_别__好__
fahuohenkuai	发_货__很__快___
zan	赞__
ganggangdemeihuashuo	杠___杠___的_没__话__说___
kefukuaididougeili	客_服_快___递_都__给__力_
haoping	好__评___
chaojiyumendeyiciwanggou	超___级_郁_闷__的_一_次_网___购__
nameduoniandiyicichaping	那_么_多__年___第_一_次_差__评___
kefuzhenlalaji	客_服_真___拉_垃_圾_
wanwenziyouxi	玩__文__字_游__戏_
dianxingdediandaqike	典___型___的_店___大_欺_客_
xiaomifensi	小___米_粉__丝_
zhekuanneicuntingshiyong	这__款___内__存__挺___实__用___
yongdeshidi4gexiaomishoujile	用___的_是__第_4个_小___米_手___机_了_
geijiejiemaide	给__姐__姐__买__的_
tahenxihuan	她_很__喜_欢___
zhunbeizairushouyigegaopeibande	准___备__再__入_手___一_个_高__配__版__的_
zongtilaishuohaoping	总___体_来__说___好__评___
shoujikanzhehengaodashang	手___机_看__着__很__高__大_上____
haimeilaidejiyong	还__没__来__得_及_用___
yinggaibucuo	应___该__不_错__
jiushifahuosudutaimanle	就__是__发_货__速_度_太__慢__了_
pailesantianhoucaigeifadehuo	拍__了_三__天___后__才__给__发_的_货__
yonglebangeyuezuoyouhuilaixiexiexinde	用___了_半__个_月__左__右__回__来__写__写__心__得_
zuidadehaochushixuhang	最__大_的_好__处__是__续_航___
qingdushiyongjibennengyongshangsansitian	轻___度_使__用___基_本__能___用___上____三__四_天___
shoujishoudaohenxihuan	手___机_收___到__很__喜_欢___
yizhidouyongxiaomibuyongqitapaizishouji	一_直__都__用___小___米_不_用___其_它_牌__子_手___机_
jiushiwuliutaiman	就__是__物_流__太__慢__
dengleyitianyouyitian	等___了_一_天___又__一_天___
dengdengdengdengdengdeng	等___等___等___等___等___等___
fahuochaojiman	发_货__超___级_慢__
cuilewushuci	催__了_无_数__次_
tiantiandoushirangdengdengdeng	天___天___都__是__让___等___等___等___
wuyu	无_语_
dongxihenhao	东___西_很__好__
zhengpin	正____品__
yaoshinengdedaomeizidehuifujiugenghaole	要__是__能___得_到__妹__子_的_回__复_就__更___好__了_
zan	赞__
xiaomichuji	小___米_出__机_
henhao	很__好__
bangtongshimaidechaoxihuanyonghenbucuo	帮___同___事__买__的_超___喜_欢___用___很__不_错__
xingjiabigao	性___价__比_高__
zhichixiaomi	支__持__小___米_
jiguolai	寄_过__来__
zhegeshidisigexiaomi	这__个_是__第_四_个_小___米_
tongyangwenti	同___样___问__题_
xinhana	心__寒__啊
disangeshoujiyonglekuaiyinianle	第_三__个_手___机_用___了_快___一_年___了_
zhaodaoshouhou	找___到__售___后__
guzhangyijiu	故_障____依_旧__
xiacijueduibumaixiaomi	下__次_绝__对__不_买__小___米_
shoujimailexindediertianjiufaxianchongdianshibunengguanji	手___机_买__了_新__的_第_二_天___就__发_现___充____电___时__不_能___关___机_
youwenti	有__问__题_
shuoyouwentidebaoxiaoyunfei	说___有__问__题_的_报__销___运__费__
zhaodaodangdeshouhougenhuandianchijiejuewenti	找___到__当___地_售___后__跟__换___电___池__解__决__问__题_
lianxikefuyouyaojiance	联___系_客_服_又__要__检___测_
dadeyunfeifapiao	打_的_运__费__发_票___
jieguoyoujihuilaile	结__果__又__寄_回__来__了_
bugeihuanhuo	不_给__换___货__
jiancehoushuoshiruanjianwenti	检___测_后__说___是__软___件___问__题_
xiaomi4laoshizidongduandian	小___米_4老__是__自_动___断___电___
shuozhubanhuaile	说___主__板__坏___了_
chedijuewang	彻__底_绝__望___
jihuiqu	寄_回__去_
mashangguobaoxiuqishouhoutuozhebugeixiu	马_上____过__保__修__期_售___后__拖__着__不_给__修__
shouhouzhenxinbuxing	售___后__真___心__不_行___
zuijinhuilaojia	最__近__回__老__家__
yongguoshoujiderendouyouchangshi	用___过__手___机_的_人__都__有__常____识__
shiwenbeijingshouhouzenmehuizheyangzi	试__问__北__京___售___后__怎__么_会__这__样___子_
dianchibuxingle	电___池__不_行___了_
tuixiezeren	推__卸__责_任__
haibunengdangshigenghuan	还__不_能___当___时__更___换___
zhiqianmeipengdaoguozhegewenti	之__前___没__碰___到__过__这__个_问__题_
shuajixiufu	刷___机_修__复_
suanlelandezhetengle	算___了_懒__得_折__腾___了_
pingmulimianyouhuichen	屏___幕_里_面___有__灰__尘___
shuang11maiguoyiciyouhuichen	双_____11买__过__一_次_有__灰__尘___
shuang12maideyiranyouhuichen	双_____12买__的_依_然__有__灰__尘___
